token
"[7.135, -2.088, 1.185, 1.186, 1.286, 3.816, 3.989, 3.925, 1.776, 1.119, 0.891, 0.829, 0.829, 0.898, 1.138, 2.841, 4.161, 4.244, 3.756, 1.276, 0.16, 0.16, 1, 0, 0, 0]"
"[7.135, -2.088, 1.185, 1.186, 1.286, 3.816, 3.989, 3.925, 1.776, 1.119, 0.891, 0.829, 0.829, 0.898, 1.138, 2.841, 4.161, 4.244, 3.756, 1.276, -0.01, -0.01, 0, 0, 0, 1]"
"[7.125, -2.091, 1.185, 1.186, 1.285, 3.815, 3.989, 3.925, 1.777, 1.12, 0.891, 0.829, 0.829, 0.898, 1.138, 2.841, 4.161, 4.243, 3.756, 1.276, 7.27, 7.3, 1, 0, 0, 0]"
"[7.115, -2.094, 1.173, 1.174, 1.272, 3.8, 3.989, 3.925, 1.801, 1.136, 0.904, 0.841, 0.842, 0.911, 1.155, 2.85, 4.161, 4.243, 3.739, 1.263, 8.21, 8.55, 1, 0, 0, 0]"
"[7.105, -2.097, 1.167, 1.168, 1.266, 3.791, 3.99, 3.925, 1.813, 1.143, 0.911, 0.847, 0.847, 0.917, 1.162, 2.854, 4.161, 4.243, 3.732, 1.257, 8.65, 8.69, 1, 0, 0, 0]"
"[7.105, -2.097, 1.161, 1.161, 1.259, 3.782, 3.99, 3.925, 1.822, 1.152, 0.918, 0.853, 0.854, 0.924, 1.171, 2.859, 4.161, 4.243, 3.724, 1.25, 8.83, 8.91, 1, 0, 0, 0]"
"[7.105, -2.097, 1.154, 1.155, 1.252, 3.774, 3.99, 3.925, 1.829, 1.16, 0.924, 0.86, 0.86, 0.931, 1.179, 2.864, 4.161, 4.243, 3.715, 1.243, 8.83, 8.91, 1, 0, 0, 0]"
"[7.095, -2.1, 1.154, 1.155, 1.252, 3.774, 3.99, 3.925, 1.829, 1.16, 0.924, 0.86, 0.86, 0.931, 1.179, 2.864, 4.161, 4.243, 3.715, 1.243, 8.8, 8.88, 1, 0, 0, 0]"
"[7.095, -2.1, 1.148, 1.148, 1.245, 3.765, 3.99, 3.925, 1.835, 1.169, 0.931, 0.866, 0.867, 0.938, 1.188, 2.868, 4.161, 4.243, 3.707, 1.236, 8.97, 9.04, 1, 0, 0, 0]"
"[7.085, -2.103, 1.141, 1.142, 1.238, 3.757, 3.989, 3.924, 1.831, 1.177, 0.938, 0.873, 0.873, 0.945, 1.196, 2.874, 4.161, 4.244, 3.698, 1.229, 8.98, 9.11, 1, 0, 0, 0]"
"[7.075, -2.106, 1.135, 1.136, 1.232, 3.751, 3.989, 3.925, 1.828, 1.185, 0.945, 0.879, 0.88, 0.952, 1.206, 2.879, 4.161, 4.244, 3.687, 1.222, 9.18, 9.09, 1, 0, 0, 0]"
"[7.075, -2.106, 1.128, 1.129, 1.225, 3.741, 3.989, 3.925, 1.821, 1.193, 0.952, 0.886, 0.886, 0.959, 1.214, 2.883, 4.161, 4.244, 3.679, 1.215, 8.55, 8.58, 1, 0, 0, 0]"
"[7.065, -2.109, 1.122, 1.123, 1.218, 3.732, 3.989, 3.925, 1.815, 1.202, 0.959, 0.892, 0.892, 0.966, 1.223, 2.888, 4.161, 4.244, 3.671, 1.208, 8.4, 8.51, 1, 0, 0, 0]"
"[7.055, -2.112, 1.116, 1.116, 1.211, 3.725, 3.989, 3.924, 1.821, 1.21, 0.965, 0.898, 0.899, 0.973, 1.231, 2.893, 4.161, 4.244, 3.662, 1.201, 8.62, 8.68, 1, 0, 0, 0]"
"[7.055, -2.227, 1.109, 1.11, 1.204, 3.717, 3.989, 3.925, 1.827, 1.218, 0.972, 0.905, 0.905, 0.98, 1.24, 2.898, 4.161, 4.244, 3.653, 1.195, 8.55, 8.61, 1, 0, 0, 0]"
"[7.055, -2.227, 1.103, 1.104, 1.197, 3.709, 3.989, 3.925, 1.833, 1.226, 0.979, 0.911, 0.911, 0.987, 1.249, 2.903, 4.161, 4.244, 3.644, 1.188, 8.55, 8.61, 1, 0, 0, 0]"
