token
"[7.085, -2.103, 1.135, 1.136, 1.232, 3.751, 3.989, 3.925, 1.828, 1.185, 0.945, 0.879, 0.88, 0.952, 1.206, 2.879, 4.161, 4.244, 3.687, 1.222, 8.98, 9.11, 1, 0, 0, 0]"
"[7.075, -2.106, 1.122, 1.123, 1.218, 3.732, 3.989, 3.925, 1.815, 1.202, 0.959, 0.892, 0.892, 0.966, 1.223, 2.888, 4.161, 4.244, 3.671, 1.208, 8.55, 8.58, 1, 0, 0, 0]"
"[7.075, -2.106, 1.122, 1.123, 1.218, 3.732, 3.989, 3.925, 1.815, 1.202, 0.959, 0.892, 0.892, 0.966, 1.223, 2.888, 4.161, 4.244, 3.671, 1.208, 8.55, 8.58, 1, 0, 0, 0]"
"[7.065, -2.109, 1.116, 1.116, 1.211, 3.725, 3.989, 3.924, 1.821, 1.21, 0.965, 0.898, 0.899, 0.973, 1.231, 2.893, 4.161, 4.244, 3.662, 1.201, 8.4, 8.51, 1, 0, 0, 0]"
"[7.055, -2.112, 1.109, 1.11, 1.204, 3.717, 3.989, 3.925, 1.827, 1.218, 0.972, 0.905, 0.905, 0.98, 1.24, 2.898, 4.161, 4.244, 3.653, 1.195, 8.62, 8.68, 1, 0, 0, 0]"
"[7.055, -2.227, 1.103, 1.104, 1.197, 3.709, 3.989, 3.925, 1.833, 1.226, 0.979, 0.911, 0.911, 0.987, 1.249, 2.903, 4.161, 4.244, 3.644, 1.188, 8.55, 8.61, 1, 0, 0, 0]"
"[7.045, -2.23, 1.096, 1.097, 1.19, 3.7, 3.989, 3.924, 1.84, 1.235, 0.986, 0.918, 0.918, 0.994, 1.257, 2.908, 4.161, 4.244, 3.636, 1.181, 8.6, 8.64, 1, 0, 0, 0]"
"[7.035, -2.233, 1.09, 1.091, 1.183, 3.691, 3.988, 3.924, 1.846, 1.243, 0.992, 0.924, 0.924, 1.001, 1.266, 2.913, 4.162, 4.245, 3.627, 1.174, 8.57, 8.63, 1, 0, 0, 0]"
"[7.035, -2.233, 1.083, 1.084, 1.177, 3.685, 3.988, 3.924, 1.852, 1.251, 0.999, 0.931, 0.931, 1.008, 1.276, 2.918, 4.161, 4.245, 3.615, 1.166, 8.57, 8.66, 1, 0, 0, 0]"
"[7.025, -2.236, 1.077, 1.077, 1.169, 3.675, 3.988, 3.925, 1.859, 1.26, 1.007, 0.937, 0.938, 1.015, 1.285, 2.923, 4.161, 4.245, 3.607, 1.159, 8.75, 8.62, 1, 0, 0, 0]"
"[7.025, -2.236, 1.07, 1.07, 1.162, 3.665, 3.988, 3.925, 1.866, 1.269, 1.014, 0.944, 0.945, 1.022, 1.293, 2.928, 4.161, 4.245, 3.599, 1.152, 8.57, 8.56, 1, 0, 0, 0]"
"[7.025, -2.236, 1.07, 1.07, 1.162, 3.665, 3.988, 3.925, 1.866, 1.269, 1.014, 0.944, 0.945, 1.022, 1.293, 2.928, 4.161, 4.245, 3.599, 1.152, 8.57, 8.56, 1, 0, 0, 0]"
"[7.015, -2.239, 1.063, 1.064, 1.155, 3.656, 3.988, 3.924, 1.863, 1.278, 1.021, 0.951, 0.951, 1.03, 1.302, 2.933, 4.161, 4.245, 3.59, 1.145, 7.93, 8.03, 1, 0, 0, 0]"
"[7.005, -2.242, 1.056, 1.057, 1.148, 3.649, 3.988, 3.924, 1.858, 1.286, 1.028, 0.958, 0.958, 1.037, 1.312, 2.938, 4.161, 4.245, 3.58, 1.137, 8.09, 8.21, 1, 0, 0, 0]"
"[7.005, -2.242, 1.05, 1.051, 1.141, 3.641, 3.987, 3.924, 1.851, 1.295, 1.035, 0.964, 0.965, 1.044, 1.321, 2.944, 4.161, 4.246, 3.571, 1.13, 7.68, 7.88, 1, 0, 0, 0]"
"[6.995, -2.245, 1.043, 1.044, 1.134, 3.634, 3.987, 3.924, 1.848, 1.303, 1.042, 0.971, 0.971, 1.052, 1.331, 2.949, 4.161, 4.246, 3.56, 1.123, 7.87, 7.99, 1, 0, 0, 0]"
"[6.985, -2.248, 1.036, 1.037, 1.127, 3.625, 3.987, 3.924, 1.855, 1.312, 1.049, 0.978, 0.978, 1.059, 1.339, 2.954, 4.161, 4.246, 3.551, 1.116, 8.09, 8.09, 1, 0, 0, 0]"
"[6.985, -2.248, 1.03, 1.03, 1.119, 3.614, 3.987, 3.924, 1.862, 1.321, 1.056, 0.984, 0.985, 1.066, 1.348, 2.959, 4.161, 4.246, 3.543, 1.108, 8.07, 7.97, 1, 0, 0, 0]"
"[6.975, -2.251, 1.023, 1.023, 1.112, 3.606, 3.987, 3.924, 1.868, 1.33, 1.064, 0.991, 0.992, 1.074, 1.358, 2.965, 4.161, 4.246, 3.533, 1.101, 8.11, 8.21, 1, 0, 0, 0]"
"[6.965, -2.254, 1.016, 1.016, 1.104, 3.596, 3.987, 3.924, 1.875, 1.339, 1.071, 0.998, 0.999, 1.081, 1.367, 2.97, 4.161, 4.246, 3.524, 1.093, 8.25, 8.17, 1, 0, 0, 0]"
"[6.965, -2.254, 1.009, 1.009, 1.096, 3.588, 3.987, 3.924, 1.881, 1.348, 1.079, 1.005, 1.006, 1.089, 1.377, 2.975, 4.161, 4.246, 3.514, 1.086, 8.25, 8.36, 1, 0, 0, 0]"
